BEFORE TRAINING:
x: -0.841249	 y: 0.80068	 guess: 1	 wrong guess
x: -0.863081	 y: 0.640047	 guess: 1	 wrong guess
x: -0.981385	 y: 0.567544	 guess: 1	 wrong guess
x: -0.951718	 y: -0.852288	 guess: -1	 correct guess
x: 0.986254	 y: 0.396777	 guess: -1	 wrong guess
x: -0.440517	 y: 0.00751114	 guess: 1	 wrong guess
x: -0.0894484	 y: 0.143486	 guess: 1	 wrong guess
x: 0.83268	 y: 0.762425	 guess: 1	 correct guess
x: 0.470554	 y: 0.0790596	 guess: -1	 wrong guess
x: 0.1826	 y: 0.18951	 guess: 1	 wrong guess
x: -0.429124	 y: -0.112521	 guess: 1	 wrong guess
x: -0.600465	 y: -0.263513	 guess: 1	 wrong guess
x: 0.164749	 y: 0.834716	 guess: 1	 wrong guess
x: 0.0873547	 y: -0.987556	 guess: -1	 wrong guess
x: -0.552911	 y: -0.0984061	 guess: 1	 wrong guess
x: 0.484303	 y: -0.399876	 guess: -1	 wrong guess
x: 0.605515	 y: -0.395907	 guess: -1	 wrong guess
x: 0.320357	 y: -0.324078	 guess: -1	 wrong guess
x: 0.571124	 y: 0.764059	 guess: 1	 wrong guess
x: -0.308518	 y: -0.242461	 guess: -1	 correct guess
x: -0.822957	 y: 0.385345	 guess: 1	 wrong guess
x: 0.679863	 y: 0.218002	 guess: -1	 wrong guess
x: -0.260343	 y: 0.316218	 guess: 1	 wrong guess
x: -0.554304	 y: 0.319134	 guess: 1	 wrong guess
x: -0.953372	 y: 0.345872	 guess: 1	 wrong guess
x: -0.0583649	 y: -0.904096	 guess: -1	 wrong guess
x: 0.389828	 y: 0.119702	 guess: -1	 wrong guess
x: 0.101461	 y: -0.967672	 guess: -1	 wrong guess
x: 0.242952	 y: 0.0484903	 guess: -1	 wrong guess
x: 0.881111	 y: 0.780153	 guess: 1	 correct guess
x: -0.607045	 y: 0.956104	 guess: 1	 wrong guess
x: -0.177896	 y: -0.279932	 guess: -1	 wrong guess
x: -0.0246851	 y: -0.345812	 guess: -1	 wrong guess
x: -0.24908	 y: 0.185111	 guess: 1	 wrong guess
x: 0.341328	 y: 0.316934	 guess: 1	 correct guess
x: 0.398229	 y: 0.901902	 guess: 1	 wrong guess
x: -0.724953	 y: 0.422769	 guess: 1	 wrong guess
x: -0.531924	 y: 0.231148	 guess: 1	 wrong guess
x: -0.535237	 y: -0.991525	 guess: -1	 wrong guess
x: 0.914258	 y: 0.0251518	 guess: -1	 wrong guess
x: 0.295116	 y: 0.279081	 guess: 1	 correct guess
x: 0.340206	 y: -0.541547	 guess: -1	 wrong guess
x: -0.815693	 y: -0.854044	 guess: -1	 wrong guess
x: 0.829852	 y: -0.909301	 guess: -1	 wrong guess
x: -0.507722	 y: 0.502312	 guess: 1	 wrong guess
x: 0.385964	 y: -0.536091	 guess: -1	 wrong guess
x: -0.456353	 y: -0.353739	 guess: -1	 correct guess
x: 0.486424	 y: -0.748659	 guess: -1	 wrong guess
x: 0.113568	 y: -0.0194602	 guess: -1	 wrong guess
x: 0.451807	 y: -0.493345	 guess: -1	 wrong guess
x: -0.461807	 y: -0.107576	 guess: 1	 wrong guess
x: 0.717824	 y: -0.630072	 guess: -1	 wrong guess
x: -0.338554	 y: 0.21972	 guess: 1	 wrong guess
x: -0.163147	 y: -0.629271	 guess: -1	 wrong guess
x: 0.776161	 y: 0.382579	 guess: -1	 wrong guess
x: 0.540151	 y: -0.714327	 guess: -1	 wrong guess
x: -0.478437	 y: 0.86107	 guess: 1	 wrong guess
x: 0.651854	 y: -0.381036	 guess: -1	 wrong guess
x: -0.97283	 y: 0.291385	 guess: 1	 wrong guess
x: 0.908789	 y: -0.811391	 guess: -1	 wrong guess
x: 0.787542	 y: -0.467077	 guess: -1	 wrong guess
x: -0.903912	 y: -0.7811	 guess: -1	 correct guess
x: 0.859757	 y: -0.913103	 guess: -1	 wrong guess
x: 0.742076	 y: -0.984665	 guess: -1	 wrong guess
x: 0.985838	 y: -0.531606	 guess: -1	 wrong guess
x: 0.694705	 y: 0.581366	 guess: 1	 correct guess
x: -0.953114	 y: -0.117668	 guess: 1	 wrong guess
x: 0.787488	 y: 0.294634	 guess: -1	 wrong guess
x: 0.543474	 y: 0.25257	 guess: -1	 wrong guess
x: -0.627352	 y: -0.565471	 guess: -1	 correct guess
x: 0.109251	 y: -0.37208	 guess: -1	 wrong guess
x: -0.383447	 y: -0.790671	 guess: -1	 wrong guess
x: 0.569381	 y: -0.242573	 guess: -1	 wrong guess
x: 0.628598	 y: -0.278287	 guess: -1	 wrong guess
x: -0.00686181	 y: -0.473899	 guess: -1	 wrong guess
x: 0.429692	 y: -0.21929	 guess: -1	 wrong guess
x: 0.365674	 y: -0.375131	 guess: -1	 wrong guess
x: -0.418835	 y: 0.968142	 guess: 1	 wrong guess
x: -0.56766	 y: 0.442038	 guess: 1	 wrong guess
x: -0.855244	 y: -0.382004	 guess: 1	 wrong guess
x: 0.667981	 y: 0.875399	 guess: 1	 wrong guess
x: -0.748329	 y: -0.118708	 guess: 1	 wrong guess
x: -0.974014	 y: 0.870818	 guess: 1	 wrong guess
x: 0.163389	 y: 0.651157	 guess: 1	 wrong guess
x: -0.273205	 y: 0.826167	 guess: 1	 wrong guess
x: 0.427278	 y: 0.517075	 guess: 1	 wrong guess
x: 0.12222	 y: 0.06933	 guess: -1	 wrong guess
x: -0.726047	 y: 0.0870612	 guess: 1	 wrong guess
x: 0.731845	 y: -0.626765	 guess: -1	 wrong guess
x: -0.654244	 y: -0.374682	 guess: 1	 wrong guess
x: -0.432978	 y: -0.503169	 guess: -1	 wrong guess
x: -0.350445	 y: 0.669892	 guess: 1	 wrong guess
x: 0.193883	 y: 0.0682043	 guess: -1	 wrong guess
x: -0.221936	 y: 0.417344	 guess: 1	 wrong guess
x: 0.141112	 y: 0.78624	 guess: 1	 wrong guess
x: 0.812026	 y: 0.287914	 guess: -1	 wrong guess
x: 0.133236	 y: 0.694857	 guess: 1	 wrong guess
x: 0.0967385	 y: -0.109478	 guess: -1	 wrong guess
x: -0.288097	 y: 0.236419	 guess: 1	 wrong guess
x: -0.140094	 y: -0.503506	 guess: -1	 wrong guess
x: 0.146992	 y: -0.165012	 guess: -1	 wrong guess
x: -0.171198	 y: -0.12205	 guess: -1	 correct guess
x: -0.385748	 y: 0.522165	 guess: 1	 wrong guess
x: -0.896519	 y: -0.539896	 guess: 1	 wrong guess
x: 0.404238	 y: -0.724293	 guess: -1	 wrong guess
x: -0.295407	 y: 0.866508	 guess: 1	 wrong guess
x: -0.528293	 y: -0.903314	 guess: -1	 wrong guess
x: -0.378622	 y: 0.212287	 guess: 1	 wrong guess
x: -0.38052	 y: -0.3039	 guess: -1	 correct guess
x: 0.325447	 y: 0.882262	 guess: 1	 wrong guess
x: -0.115979	 y: -0.133066	 guess: -1	 wrong guess
x: 0.595879	 y: 0.0794332	 guess: -1	 wrong guess
x: -0.517814	 y: -0.881398	 guess: -1	 wrong guess
x: -0.129131	 y: -0.94449	 guess: -1	 wrong guess
x: 0.141505	 y: 0.110742	 guess: 1	 correct guess
x: 0.31319	 y: -0.956073	 guess: -1	 wrong guess
x: 0.660527	 y: 0.183944	 guess: -1	 wrong guess
x: 0.168477	 y: 0.992614	 guess: 1	 wrong guess
x: 0.737238	 y: 0.527501	 guess: 1	 correct guess
x: 0.536051	 y: -0.743039	 guess: -1	 wrong guess
x: 0.477913	 y: -0.826387	 guess: -1	 wrong guess
x: 0.137665	 y: 0.0920062	 guess: 1	 correct guess
x: 0.726393	 y: 0.238814	 guess: -1	 wrong guess
x: -0.297974	 y: -0.142301	 guess: 1	 wrong guess
x: 0.365979	 y: -0.829477	 guess: -1	 wrong guess
x: -0.153425	 y: -0.94884	 guess: -1	 wrong guess
x: -0.203102	 y: -0.098732	 guess: 1	 wrong guess
x: 0.67775	 y: 0.56928	 guess: 1	 correct guess
x: 0.15231	 y: -0.25814	 guess: -1	 wrong guess
x: 0.877149	 y: -0.462485	 guess: -1	 wrong guess
x: -0.335796	 y: -0.552937	 guess: -1	 wrong guess
x: 0.370635	 y: -0.476529	 guess: -1	 wrong guess
x: 0.18462	 y: -0.238536	 guess: -1	 wrong guess
x: 0.380017	 y: -0.252127	 guess: -1	 wrong guess
x: 0.99901	 y: -0.335642	 guess: -1	 wrong guess
x: 0.892294	 y: 0.0949342	 guess: -1	 wrong guess
x: 0.47845	 y: -0.0618165	 guess: -1	 wrong guess
x: 0.0835788	 y: -0.854683	 guess: -1	 wrong guess
x: -0.816882	 y: 0.901117	 guess: 1	 wrong guess
x: 0.366575	 y: 0.268499	 guess: 1	 correct guess
x: 0.268264	 y: -0.454527	 guess: -1	 wrong guess
x: -0.223797	 y: -0.869218	 guess: -1	 wrong guess
x: -0.256827	 y: 0.660861	 guess: 1	 wrong guess
x: 0.419524	 y: -0.621644	 guess: -1	 wrong guess
x: -0.706148	 y: 0.857003	 guess: 1	 wrong guess
x: 0.444334	 y: 0.234313	 guess: -1	 wrong guess
x: -0.103655	 y: 0.607242	 guess: 1	 wrong guess
x: -0.886848	 y: -0.629244	 guess: -1	 correct guess
x: 0.379417	 y: 0.985935	 guess: 1	 wrong guess
x: 0.405332	 y: -0.655162	 guess: -1	 wrong guess
x: 0.618165	 y: -0.197888	 guess: -1	 wrong guess
x: -0.830588	 y: 0.28477	 guess: 1	 wrong guess
x: -0.33683	 y: -0.21503	 guess: -1	 correct guess
x: -0.181891	 y: -0.889047	 guess: -1	 wrong guess
x: -0.152816	 y: 0.316875	 guess: 1	 wrong guess
x: -0.870647	 y: -0.374096	 guess: 1	 wrong guess
x: -0.220715	 y: 0.912501	 guess: 1	 wrong guess
x: -0.467873	 y: -0.117617	 guess: 1	 wrong guess
x: 0.192821	 y: 0.026227	 guess: -1	 wrong guess
x: 0.541463	 y: -0.0594129	 guess: -1	 wrong guess
x: 0.323393	 y: 0.949248	 guess: 1	 wrong guess
x: -0.276285	 y: 0.575122	 guess: 1	 wrong guess
x: -0.368743	 y: -0.0523097	 guess: 1	 wrong guess
x: -0.0547791	 y: 0.968854	 guess: 1	 wrong guess
x: 0.729572	 y: -0.0946661	 guess: -1	 wrong guess
x: 0.334132	 y: 0.431939	 guess: 1	 wrong guess
x: 0.136266	 y: -0.115921	 guess: -1	 wrong guess
x: 0.46574	 y: 0.90312	 guess: 1	 wrong guess
x: -0.102078	 y: -0.947447	 guess: -1	 wrong guess
x: -0.86182	 y: -0.161489	 guess: 1	 wrong guess
x: 0.23432	 y: 0.717336	 guess: 1	 wrong guess
x: -0.973828	 y: 0.14887	 guess: 1	 wrong guess
x: 0.869978	 y: 0.353082	 guess: -1	 wrong guess
x: 0.207533	 y: -0.367016	 guess: -1	 wrong guess
x: 0.735041	 y: -0.190014	 guess: -1	 wrong guess
x: -0.330002	 y: 0.194776	 guess: 1	 wrong guess
x: 0.648827	 y: -0.257846	 guess: -1	 wrong guess
x: -0.309997	 y: -0.595082	 guess: -1	 wrong guess
x: -0.0564232	 y: -0.107821	 guess: -1	 wrong guess
x: 0.475641	 y: 0.0866646	 guess: -1	 wrong guess
x: -0.655973	 y: -0.207017	 guess: 1	 wrong guess
x: -0.375661	 y: -0.334597	 guess: -1	 correct guess
x: -0.951687	 y: 0.387551	 guess: 1	 wrong guess
x: 0.30959	 y: 0.372764	 guess: 1	 wrong guess
x: -0.195056	 y: -0.881607	 guess: -1	 wrong guess
x: 0.147623	 y: 0.787489	 guess: 1	 wrong guess
x: -0.775812	 y: -0.376533	 guess: 1	 wrong guess
x: -0.785314	 y: -0.213707	 guess: 1	 wrong guess
x: -0.720457	 y: 0.618681	 guess: 1	 wrong guess
x: -0.569762	 y: 0.181776	 guess: 1	 wrong guess
x: -0.827349	 y: 0.0792571	 guess: 1	 wrong guess
x: -0.370759	 y: 0.508792	 guess: 1	 wrong guess
x: 0.843908	 y: 0.29748	 guess: -1	 wrong guess
x: 0.0319985	 y: -0.308945	 guess: -1	 wrong guess
x: 0.141921	 y: 0.908483	 guess: 1	 wrong guess
x: -0.106089	 y: 0.903287	 guess: 1	 wrong guess
x: 0.339835	 y: -0.641064	 guess: -1	 wrong guess
x: 0.707801	 y: 0.112392	 guess: -1	 wrong guess
x: 0.595536	 y: 0.0550172	 guess: -1	 wrong guess
x: 0.613069	 y: -0.250603	 guess: -1	 wrong guess
x: -0.886206	 y: -0.72855	 guess: -1	 correct guess
x: 0.506513	 y: 0.873413	 guess: 1	 wrong guess
x: -0.875364	 y: -0.971926	 guess: -1	 wrong guess
x: 0.511947	 y: 0.665874	 guess: 1	 wrong guess
x: -0.470532	 y: 0.788369	 guess: 1	 wrong guess
x: -0.862004	 y: 0.400373	 guess: 1	 wrong guess
x: 0.938148	 y: 0.781142	 guess: 1	 correct guess
x: 0.312925	 y: -0.504978	 guess: -1	 wrong guess
x: -0.189212	 y: 0.497381	 guess: 1	 wrong guess
x: 0.461396	 y: 0.217147	 guess: -1	 wrong guess
x: 0.592832	 y: -0.376703	 guess: -1	 wrong guess
x: -0.816285	 y: 0.258037	 guess: 1	 wrong guess
x: 0.0444702	 y: -0.0143147	 guess: -1	 wrong guess
x: -0.0195397	 y: 0.516936	 guess: 1	 wrong guess
x: 0.0418763	 y: 0.356712	 guess: 1	 wrong guess
x: -0.892182	 y: 0.0837111	 guess: 1	 wrong guess
x: 0.412223	 y: 0.592209	 guess: 1	 wrong guess
x: 0.417769	 y: 0.159099	 guess: -1	 wrong guess
x: -0.441132	 y: 0.0215346	 guess: 1	 wrong guess
x: 0.1968	 y: 0.673792	 guess: 1	 wrong guess
x: -0.515012	 y: -0.142991	 guess: 1	 wrong guess
x: -0.80702	 y: 0.617717	 guess: 1	 wrong guess
x: -0.21715	 y: -0.346002	 guess: -1	 wrong guess
x: 0.911113	 y: -0.804753	 guess: -1	 wrong guess
x: -0.741253	 y: 0.267372	 guess: 1	 wrong guess
x: -0.036405	 y: -0.782791	 guess: -1	 wrong guess
x: -0.0371105	 y: -0.955975	 guess: -1	 wrong guess
x: 0.0163447	 y: -0.686263	 guess: -1	 wrong guess
x: 0.418984	 y: -0.770673	 guess: -1	 wrong guess
x: 0.101571	 y: -0.581782	 guess: -1	 wrong guess
x: -0.912161	 y: -0.775846	 guess: -1	 correct guess
x: -0.65055	 y: -0.61396	 guess: -1	 correct guess
x: -0.860024	 y: 0.894763	 guess: 1	 wrong guess
x: 0.0857803	 y: 0.789338	 guess: 1	 wrong guess
x: 0.306606	 y: -0.404895	 guess: -1	 wrong guess
x: 0.234598	 y: -0.0248564	 guess: -1	 wrong guess
x: 0.795589	 y: 0.458607	 guess: -1	 wrong guess
x: -0.958097	 y: 0.513638	 guess: 1	 wrong guess
x: 0.0960594	 y: -0.468696	 guess: -1	 wrong guess
x: 0.393037	 y: 0.0722085	 guess: -1	 wrong guess
x: 0.196204	 y: -0.751598	 guess: -1	 wrong guess
x: -0.420066	 y: -0.447379	 guess: -1	 wrong guess
x: -0.132973	 y: -0.430387	 guess: -1	 wrong guess
x: 0.712481	 y: 0.830315	 guess: 1	 wrong guess
x: -0.0774565	 y: 0.984116	 guess: 1	 wrong guess
x: 0.678137	 y: -0.463431	 guess: -1	 wrong guess
x: -0.757081	 y: 0.777438	 guess: 1	 wrong guess
x: -0.422004	 y: 0.66509	 guess: 1	 wrong guess
x: -0.53049	 y: 0.107799	 guess: 1	 wrong guess
x: -0.95474	 y: -0.96048	 guess: -1	 wrong guess
x: 0.0578983	 y: 0.37284	 guess: 1	 wrong guess
x: -0.840162	 y: 0.853131	 guess: 1	 wrong guess
x: 0.866301	 y: -0.987928	 guess: -1	 wrong guess
x: 0.384249	 y: 0.999736	 guess: 1	 wrong guess
x: -0.511026	 y: -0.746935	 guess: -1	 wrong guess
x: -0.72333	 y: -0.246268	 guess: 1	 wrong guess
